Name,Type,Store,Price,Current Vivino Score,CORRECTED SCORE (write here),URL
Vin Blanc sec 3 L,White,Carrefour,10.99,0,,https://www.carrefour.be/fr/vin-blanc-sec-3-l/04363281.html
Amicale Rouge 75cl,Red,Carrefour,9.99,4.0,,https://www.carrefour.be/fr/amicale-rouge-75cl/05345351.html
L' Aiguebrun le Pont de la Coquille Luberon Blanc 75cl,White,Carrefour,5.99,0,,https://www.carrefour.be/fr/l-aiguebrun-le-pont-de-la-coquille-luberon-blanc-75cl/06032763.html
La Villageoise Vin blanc sec 25 cl,White,Carrefour,1.79,0,,https://www.carrefour.be/fr/la-villageoise-vin-blanc-sec-25-cl/04941497.html
Bordeaux Les Cinq Pattes rosé,Rosé,Carrefour,6.99,0,,https://www.carrefour.be/fr/bordeaux-les-cinq-pattes-rose/06965301.html
Portico Rosé Wine 750 ml,Rosé,Carrefour,3.99,3.0,,https://www.carrefour.be/fr/portico-rose-wine-750-ml/01215688.html
Domaines Vinsmoselle Rivaner 25 cl,White,Carrefour,1.99,3.5,,https://www.carrefour.be/fr/domaines-vinsmoselle-rivaner-25-cl/04856028.html
Val de Loire Vouvray Sec Vignoble Brisebarre Blanc 75cl,White,Carrefour,9.99,3.9,,https://www.carrefour.be/fr/val-de-loire-vouvray-sec-vignoble-brisebarre-blanc-75cl/06587165.html
Côte du Rhône Villages Séguret Rouge 75cl,Red,Carrefour,6.99,3.7,,https://www.carrefour.be/fr/cote-du-rhone-villages-seguret-rouge-75cl/04985700.html
Minervois 25 cl,Red,Carrefour,1.99,2.4,,https://www.carrefour.be/fr/minervois-25-cl/01432892.html
Belgique Vin de la communauté européenne Vin blanc 75 cl,White,Carrefour,2.99,0,,https://www.carrefour.be/fr/belgique-vin-de-la-communaute-europeenne-vin-blanc-75-cl/06801089.html
Tordelcolle Brindisi D.O.C Riserva Rouge 75cl,Red,Carrefour,5.99,0,,https://www.carrefour.be/fr/tordelcolle-brindisi-d.o.c-riserva-rouge-75cl/07247651.html
Cépage Vin désalcoolisé Merlot 75cl,Red,Carrefour,6.19,2.1,,https://www.carrefour.be/fr/cepage-vin-desalcoolise-merlot-75cl/05227072.html
Sauvignon Night Orient Sans Alcool Blanc 75cl,White,Carrefour,5.99,0,,https://www.carrefour.be/fr/sauvignon-night-orient-sans-alcool-blanc-75cl/06700747.html
Long Tail Premium Chardonnay 75cl,White,Carrefour,5.99,0,,https://www.carrefour.be/fr/long-tail-premium-chardonnay-75cl/06936644.html
Beaumanoir Vin de Rouge 5 L,Red,Carrefour,16.99,0,,https://www.carrefour.be/fr/beaumanoir-vin-de-rouge-5-l/04835706.html
Cépage Vin désalcoolisé Chardonnay Blanc 75cl,White,Carrefour,6.19,2.7,,https://www.carrefour.be/fr/cepage-vin-desalcoolise-chardonnay-blanc-75cl/05227076.html
Curiosité M Merlot Rouge 75cl,Red,Carrefour,5.99,0,,https://www.carrefour.be/fr/curiosite-m-merlot-rouge-75cl/07104395.html
Vintense Sauvignon Sans Alcool Blanc 75cl,White,Carrefour,6.19,0,,https://www.carrefour.be/fr/vintense-sauvignon-sans-alcool-blanc-75cl/05794926.html
San Pedro Chardonnay Blanc 75cl,White,Carrefour,6.69,3.2,,https://www.carrefour.be/fr/san-pedro-chardonnay-blanc-75cl/05119154.html
États -Unis Californie Gallo Cabernet Sauvignon 6x75cl,Red,Carrefour,47.94,3.4,,https://www.carrefour.be/fr/etats--unis-californie-gallo-cabernet-sauvignon-6x75cl/01158879.html
Long Tail Premium Cabernet Sauvignon 75cl,Red,Carrefour,5.99,0,,https://www.carrefour.be/fr/long-tail-premium-cabernet-sauvignon-75cl/06899441.html
7 Muri Chardonnay Valdadige Blanc 75cl,White,Carrefour,9.99,0,,https://www.carrefour.be/fr/7-muri-chardonnay-valdadige-blanc-75cl/07173369.html
Ventoux Vin Biologique 75 cl,Red,Carrefour,5.99,0,,https://www.carrefour.be/fr/ventoux-vin-biologique-75-cl/06758554.html
Cépage Merlot Vin sans Alcool Rouge 20cl,Red,Carrefour,2.15,2.1,,https://www.carrefour.be/fr/cepage-merlot-vin-sans-alcool-rouge-20cl/05417730.html
Etas-Unis d'Amerique Green Forest Chardonnay Blanc 75cl,White,Carrefour,4.99,0,,https://www.carrefour.be/fr/etas-unis-damerique-green-forest-chardonnay-blanc-75cl/04031494.html
Beaujolais Des Pierres Dorées Chardonnay Blanc 75cl,White,Carrefour,9.99,0,,https://www.carrefour.be/fr/beaujolais-des-pierres-dorees-chardonnay-blanc-75cl/07015910.html
Côtes du Rhône Primeur Rouge 75cl,Red,Carrefour,2.99,0,,https://www.carrefour.be/fr/cotes-du-rhone-primeur-rouge-75cl/04775104.html
Amicone Rouge 1.5 L,Red,Carrefour,18.99,0,,https://www.carrefour.be/fr/amicone-rouge-1.5-l/06232860.html
Famille Cattin Crément D'alsace Brut Rosé 75cl,Rosé,Carrefour,11.99,0,,https://www.carrefour.be/fr/famille-cattin-crement-dalsace-brut-rose-75cl/07104320.html
Cantine-Di-Ora Amicale Rouge 375ml,Red,Carrefour,5.99,0,,https://www.carrefour.be/fr/cantine-di-ora-amicale-rouge-375ml/07101211.html
Côtes du Rhône Primeur Rouge 75cl,Red,Carrefour,2.99,0,,https://www.carrefour.be/fr/cotes-du-rhone-primeur-rouge-75cl/04883787.html
Vallée du Rhône Vins sobres chateau Calvet rouge 75cl,Red,Carrefour,9.99,0,,https://www.carrefour.be/fr/vallee-du-rhone-vins-sobres-chateau-calvet-rouge-75cl/06874993.html
d.o.c.g. Amarone Della Valpolicella Rouge 75cl,Red,Carrefour,19.99,0,,https://www.carrefour.be/fr/d.o.c.g.-amarone-della-valpolicella-rouge-75cl/06998562.html
Château de Tourteyron Cru Bourgeois Médoc 75cl,Red,Carrefour,11.99,0,,https://www.carrefour.be/fr/chateau-de-tourteyron-cru-bourgeois-medoc-75cl/05841798.html
The Fortune Bar Glühwein 0% alc. 75cl,Other,Carrefour,6.99,0,,https://www.carrefour.be/fr/the-fortune-bar-gluhwein-0-alc.-75cl/06993626.html
Sud-Ouest Saint-Mont Boiseraie 75cl,Red,Carrefour,5.99,0,,https://www.carrefour.be/fr/sud-ouest-saint-mont-boiseraie-75cl/01049742.html
Carta Sparkling Semi-Sec Blanc 75cl,White,Carrefour,9.99,0,,https://www.carrefour.be/fr/carta-sparkling-semi-sec-blanc-75cl/07214155.html
AH Sauvignon blanc,White,Albert Heijn,2.69,0,,https://www.ah.be/producten/product/wi222373
AH Vol & droge Zuid-Afrikaanse wit wijntap,White,Albert Heijn,11.99,0,,https://www.ah.be/producten/product/wi475973/ah-vol-en-droge-zuid-afrikaanse-wit-wijntap
AH Vol & halfzoete Zuid-Afrikaanse wit,White,Albert Heijn,4.99,0,,https://www.ah.be/producten/product/wi222358/ah-vol-en-halfzoete-zuid-afrikaanse-wit
AH Vol & droge Zuid-Afrikaanse huiswijn wit,White,Albert Heijn,4.99,0,,https://www.ah.be/producten/product/wi222360/ah-vol-en-droge-zuid-afrikaanse-huiswijn-wit
AH Vol & halfzoete Zuid-Afrikaanse wit,White,Albert Heijn,2.69,0,,https://www.ah.be/producten/product/wi222371
AH Vol & droge Zuid-Afrikaanse huiswijn wit,White,Albert Heijn,2.69,0,,https://www.ah.be/producten/product/wi222372
AH Vol & droge Australische huiswijn wit,White,Albert Heijn,4.99,0,,https://www.ah.be/producten/product/wi222361/ah-vol-en-droge-australische-huiswijn-wit
Sélection Clémence Blanc,White,Albert Heijn,3.59,0,,https://www.ah.be/producten/product/wi34340/selection-clemence-blanc
AH Biologisch Sauvignon blanc,White,Albert Heijn,4.99,0,,https://www.ah.be/producten/product/wi166919/ah-biologisch-sauvignon-blanc
AH Sauvignon blanc,White,Albert Heijn,4.99,0,,https://www.ah.be/producten/product/wi222337
Sauvignon Moldavie Sauvignon blanc,White,Albert Heijn,4.59,0,,https://www.ah.be/producten/product/wi481233/sauvignon-moldavie-sauvignon-blanc
AH Vol & halfzoete Zuid-Afrikaanse wit tap,White,Albert Heijn,11.99,0,,https://www.ah.be/producten/product/wi509392/ah-vol-en-halfzoete-zuid-afrikaanse-wit-tap
Vermeersch Graffiti wit bib bel,White,Albert Heijn,24.99,0,,https://www.ah.be/producten/product/wi597373/vermeersch-graffiti-wit-bib-bel
Vermeersch Graffiti rosé bib bel,Rosé,Albert Heijn,24.99,0,,https://www.ah.be/producten/product/wi555245/vermeersch-graffiti-rose-bib-bel
AH Merlot,Red,Albert Heijn,2.69,0,,https://www.ah.be/producten/product/wi222369
Vin de Pays d'Oc Rood,Red,Albert Heijn,3.99,0,,https://www.ah.be/producten/product/wi121073/vin-de-pays-d-oc-rood
Rucio Sangria,Other,Albert Heijn,1.99,0,,https://www.ah.be/producten/product/wi195779/rucio-sangria
AH Stevige Chileense huiswijn rood,Red,Albert Heijn,4.99,0,,https://www.ah.be/producten/product/wi222355/ah-stevige-chileense-huiswijn-rood
AH Fruitige Franse huiswijn rood,Red,Albert Heijn,3.99,0,,https://www.ah.be/producten/product/wi222351/ah-fruitige-franse-huiswijn-rood
AH Biologisch Merlot,Red,Albert Heijn,4.99,0,,https://www.ah.be/producten/product/wi166917/ah-biologisch-merlot
AH Merlot,Red,Albert Heijn,4.99,0,,https://www.ah.be/producten/product/wi222345
AH Biologisch Merlot,Red,Albert Heijn,10.99,0,,https://www.ah.be/producten/product/wi188758/ah-biologisch-merlot
AH Fruitige Franse huiswijn rood,Red,Albert Heijn,2.69,0,,https://www.ah.be/producten/product/wi222366
AH Biologisch Merlot,Red,Albert Heijn,2.89,0,,https://www.ah.be/producten/product/wi183611/ah-biologisch-merlot
AH Stevige Chileense huiswijn rood,Red,Albert Heijn,2.69,0,,https://www.ah.be/producten/product/wi222368
Vermeersch Graffiti rood bib bel,Red,Albert Heijn,24.99,0,,https://www.ah.be/producten/product/wi597374/vermeersch-graffiti-rood-bib-bel
Galilei Hugo 0%,Sparkling,Albert Heijn,3.99,0,,https://www.ah.be/producten/product/wi387221
Faszination Hugo,Sparkling,Albert Heijn,2.99,0,,https://www.ah.be/producten/product/wi436936
Galilei Hugo rosé,Sparkling,Albert Heijn,3.99,0,,https://www.ah.be/producten/product/wi224858
Galilei Hugo,Sparkling,Albert Heijn,3.99,0,,https://www.ah.be/producten/product/wi217382
"Amare Sparkling brut 0,0% bel",Sparkling,Albert Heijn,8.99,0,,https://www.ah.be/producten/product/wi580563/amare-sparkling-brut-0-0-bel
Galilei Hugo,Sparkling,Albert Heijn,1.89,0,,https://www.ah.be/producten/product/wi440919/galilei-hugo
Galilei Frizzante watermelon,Sparkling,Albert Heijn,4.29,0,,https://www.ah.be/producten/product/wi387223/galilei-frizzante-watermelon
Martini Frizzante semisecco bel,Sparkling,Albert Heijn,9.99,0,,https://www.ah.be/producten/product/wi597371/martini-frizzante-semisecco-bel
Martini Frizzante rosato bel,Sparkling,Albert Heijn,9.99,0,,https://www.ah.be/producten/product/wi597372/martini-frizzante-rosato-bel
